kind,architecture,reference,reference_mode,participant,delta
classification,BiLSTM,dummy_prior,current,P8,-0.03868383078909393
classification,BiLSTM,dummy_prior,current,P9,0.058783396399495536
regression,TCN,TCN,repeat_current,P12,-0.0020315881290636773
regression,TCN,TCN,repeat_current,P13,-0.0021730994777540147
regression,TCN,TCN,repeat_current,P18,-0.0011266664367148849
regression,TCN,TCN,repeat_current,P19,-0.0020023155081421162
regression,TCN,TCN,repeat_current,P2,-0.0002455964780752051
regression,TCN,TCN,repeat_current,P20,-0.004405131033072163
regression,TCN,TCN,repeat_current,P21,0.014206957940597231
regression,TCN,TCN,repeat_current,P22,-0.008149627380195312
regression,TCN,TCN,repeat_current,P24,0.004043177243340357
regression,TCN,TCN,repeat_current,P26,-0.016432719351259673
regression,TCN,TCN,repeat_current,P27,0.008817509827182768
regression,TCN,TCN,repeat_current,P3,0.006712214936190453
regression,TCN,TCN,repeat_current,P30,-0.004711536830248164
regression,TCN,TCN,repeat_current,P33,-0.008534983616901304
regression,TCN,TCN,repeat_current,P34,-0.01578185310150837
regression,TCN,TCN,repeat_current,P35,-0.001494983022238161
regression,TCN,TCN,repeat_current,P36,0.0037280813095063037
regression,TCN,TCN,repeat_current,P4,0.011431905591479441
regression,TCN,TCN,repeat_current,P40,0.008880310412666903
regression,TCN,TCN,repeat_current,P43,0.00043159441266227283
regression,TCN,TCN,repeat_current,P44,-0.01258591569740597
regression,TCN,TCN,repeat_current,P46,-0.0010514003549022544
regression,TCN,TCN,repeat_current,P48,-0.006546694185526114
regression,TCN,TCN,repeat_current,P8,-0.0018026212126295293
regression,TCN,TCN,repeat_current,P9,-0.0049392569728836655
regression,TCN,MLP_current,current,P12,0.004463075463515209
regression,TCN,MLP_current,current,P13,-0.009318378548824224
regression,TCN,MLP_current,current,P18,-0.005959867044051381
regression,TCN,MLP_current,current,P19,-0.004464561401973377
regression,TCN,MLP_current,current,P2,-0.0022376023899202124
regression,TCN,MLP_current,current,P20,-0.0029969425522873294
regression,TCN,MLP_current,current,P21,0.01274468427984421
regression,TCN,MLP_current,current,P22,-0.008954634297273056
regression,TCN,MLP_current,current,P24,0.009617716863799752
regression,TCN,MLP_current,current,P26,-0.01541135814637129
regression,TCN,MLP_current,current,P27,0.0024317676724381343
regression,TCN,MLP_current,current,P3,0.0064552177450112325
regression,TCN,MLP_current,current,P30,-0.004516176124376603
regression,TCN,MLP_current,current,P33,-0.006368681929304731
regression,TCN,MLP_current,current,P34,-0.016825978139885622
regression,TCN,MLP_current,current,P35,-0.006169811063555963
regression,TCN,MLP_current,current,P36,0.006992206104277865
regression,TCN,MLP_current,current,P4,0.006532817437345906
regression,TCN,MLP_current,current,P40,0.00034802248529253177
regression,TCN,MLP_current,current,P43,0.0006657011724320316
regression,TCN,MLP_current,current,P44,-0.015125708283432626
regression,TCN,MLP_current,current,P46,-0.0019017969226583498
regression,TCN,MLP_current,current,P48,-0.006265429629452202
regression,TCN,MLP_current,current,P8,-0.0013529141442211179
regression,TCN,MLP_current,current,P9,-0.007992900318159135
regression,TCN,ridge,current,P12,0.004277071986532044
regression,TCN,ridge,current,P13,-0.005703094075308335
regression,TCN,ridge,current,P18,-0.0010649182738711183
regression,TCN,ridge,current,P19,-0.013346630777630208
regression,TCN,ridge,current,P2,6.649452319362759e-05
regression,TCN,ridge,current,P20,-0.00693412386879122
regression,TCN,ridge,current,P21,0.015815706363277116
regression,TCN,ridge,current,P22,-0.0053361823836983735
