fold,inner,representation,estimator,smoothing,score,fit_participants,evaluation_participants
1,3,eye__recording_8,rbf,4,0.34487735556640847,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,eye__recording_8,rbf,8,0.32781008979902876,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_0.1,1,0.3662205973655997,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_0.1,4,0.3662266995098902,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_0.1,8,0.36586863313429685,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_1,1,0.3627216805012716,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_1,4,0.36677502348239965,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,logistic_1,8,0.368350492531407,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,hgb,1,0.3372357044008533,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,hgb,4,0.33964804428411277,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,hgb,8,0.3351493910115881,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,rbf,1,0.36363706345728947,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,rbf,4,0.36390899791488857,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__current,rbf,8,0.36563206677219934,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_0.1,1,0.34552885600292355,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_0.1,4,0.3378820419902948,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_0.1,8,0.337823824487514,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_1,1,0.34635243535390176,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_1,4,0.33675460956253245,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,logistic_1,8,0.3360633312133181,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,hgb,1,0.35667116657822845,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,hgb,4,0.3547179725523917,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,hgb,8,0.3576294330713227,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,rbf,1,0.3564086679547503,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,rbf,4,0.3478912080325211,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
1,3,full__recording_8,rbf,8,0.3289192414418809,P12|P18|P19|P2|P20|P21|P27|P33|P34|P36|P4|P40|P44|P9,P13|P26|P3|P35|P46|P8
2,1,eye__current,logistic_0.1,1,0.3517989512789232,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,logistic_0.1,4,0.3584988539020813,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,logistic_0.1,8,0.35771636088694436,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,logistic_1,1,0.35314418582555634,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,logistic_1,4,0.35897366488362586,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,logistic_1,8,0.35818052070930956,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,hgb,1,0.34289354466795346,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,hgb,4,0.35019136103340515,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,hgb,8,0.35289434999274916,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,rbf,1,0.33739926753033966,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,rbf,4,0.3392768433081512,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__current,rbf,8,0.35521059466662397,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__recording_8,logistic_0.1,1,0.3551642498500546,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__recording_8,logistic_0.1,4,0.3662768516622642,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
2,1,eye__recording_8,logistic_0.1,8,0.3718602020144207,P18|P20|P21|P22|P27|P3|P30|P33|P43|P44|P46|P8|P9,P13|P24|P26|P34|P36|P4|P48
