fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
1,arousal_primary_6s,regression,ridge,Eye_Pupil,16,-1.016550880498557,,,2612,-0.017484944975445726,1.01748494556295
1,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-1.0028263398345947,,,2612,-0.003087049311011114,1.003087049890202
1,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-1.009943566814813,,,2612,-0.01036017413383461,1.010360174717225
1,arousal_primary_6s,regression,random_forest,full,25,-1.0550320112253835,,,2612,-0.05877311270947616,1.0587731133208205
1,arousal_primary_6s,regression,random_forest,Pupil,6,-1.040136828337744,,,2612,-0.04202247239367862,1.042022472995351
1,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,-1.0561354760591317,,,2612,-0.05817842425539621,1.0581784248663972
1,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,-1.0443410160326092,,,2612,-0.04624243653838489,1.0462424371424939
1,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,-1.0507079544434756,,,2612,-0.05163579286894948,1.0516357934761729
2,attention_primary,classification,dummy,full,18,0.3333333333333333,0.3333333333333333,0.16661965209214857,2659,,
2,attention_primary,classification,logistic,full,18,0.3460181651975942,0.3429921201062416,0.3423507529959542,2659,,
2,attention_primary,classification,logistic,EEG,9,0.363274681434478,0.361034693079453,0.36103842055876156,2659,,
2,attention_primary,classification,logistic,compact_no_noise,9,0.3309958412634854,0.3264425617756016,0.31909726422151224,2659,,
2,attention_primary,classification,random_forest,full,18,0.34805570165310196,0.3490091387765593,0.34875383912903674,2659,,
2,attention_primary,classification,random_forest,EEG,9,0.34627722396003346,0.3452184933615989,0.34359728451339366,2659,,
2,attention_primary,classification,random_forest,compact_no_noise,9,0.3494782978657703,0.3486151016734489,0.348380329492223,2659,,
2,attention_primary,regression,dummy,full,18,-1.0000000004659548,,,2659,0.0,1.0000000004766478
2,attention_primary,regression,ridge,full,18,-1.0016519287386163,,,2659,-0.001990767551637962,1.0019907680292346
2,attention_primary,regression,ridge,EEG,9,-1.0014442673210877,,,2659,-0.001512434964946019,1.0015124354423146
2,attention_primary,regression,ridge,compact_no_noise,9,-1.0030719802181425,,,2659,-0.0034170374483868393,1.0034170379266631
2,attention_primary,regression,random_forest,full,18,-1.0881707352343888,,,2659,-0.0885344609118428,1.0885344614306904
2,attention_primary,regression,random_forest,EEG,9,-1.0356889727516432,,,2659,-0.03660957386376551,1.0366095743578632
2,attention_primary,regression,random_forest,compact_no_noise,9,-1.0827585540974745,,,2659,-0.08304948176937144,1.0830494822856045
2,arousal_primary_6s,classification,dummy,full,25,0.36666666666666664,0.3333333333333333,0.19281831952240935,2659,,
2,arousal_primary_6s,classification,logistic,full,25,0.37482200991029735,0.38584600298184824,0.3758001234953839,2659,,
2,arousal_primary_6s,classification,logistic,Pupil,6,0.35562005694658033,0.36527318542492976,0.35192659211099614,2659,,
2,arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.35305665860105884,0.35568277323739034,0.3467704067357091,2659,,
2,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.3546890213195786,0.3656403817662451,0.35066729901420074,2659,,
2,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.3501558124460325,0.352637524979072,0.3433876806015615,2659,,
2,arousal_primary_6s,classification,random_forest,full,25,0.37404928580300195,0.37156027472158054,0.36895063035304404,2659,,
2,arousal_primary_6s,classification,random_forest,Pupil,6,0.34293815046558185,0.34045545912566455,0.3378481193027665,2659,,
2,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.3292894057522597,0.32235520213572766,0.32146330948463436,2659,,
2,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.3490529374192505,0.34400534647663195,0.3414957856496041,2659,,
2,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.3222560405014634,0.31557904171514967,0.31393611077360867,2659,,
2,arousal_primary_6s,regression,dummy,full,25,-0.9999999993167326,,,2659,-2.220446049250313e-16,0.9999999991137531
2,arousal_primary_6s,regression,ridge,full,25,-1.004361510212603,,,2659,-0.0036620724041218633,1.0036620715146294
2,arousal_primary_6s,regression,ridge,Pupil,6,-0.9991308725217675,,,2659,0.001094561423498508,0.9989054376912245
2,arousal_primary_6s,regression,ridge,Eye_Pupil,16,-1.0041263524364086,,,2659,-0.0037230871110238706,1.0037230862214772
2,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-0.9989517464571452,,,2659,0.0010144460544861955,0.9989855530601658
2,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-1.0037629193547108,,,2659,-0.0036771500252801292,1.0036771491357743
2,arousal_primary_6s,regression,random_forest,full,25,-1.02629236662811,,,2659,-0.022155078474212164,1.0221550775683304
2,arousal_primary_6s,regression,random_forest,Pupil,6,-1.0289071403533332,,,2659,-0.027593589237644656,1.027593588326943
2,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,-1.0239481747480574,,,2659,-0.02312469468245082,1.0231246937757097
2,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,-1.027400656829204,,,2659,-0.026467670316005387,1.0264676694063015
2,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,-1.0181915787584135,,,2659,-0.018434754281756005,1.0184347533791713
3,attention_primary,classification,dummy,full,18,0.3333333333333333,0.3333333333333333,0.16657266403459298,2660,,
3,attention_primary,classification,logistic,full,18,0.32706968801929837,0.3270155909750658,0.31559695743376004,2660,,
3,attention_primary,classification,logistic,EEG,9,0.34478505933305625,0.3454377798872265,0.3364742887471108,2660,,
