variant,participant,loss
drop_pupil_min_z,P36,-0.01177630815639874
drop_pupil_min_z,P46,-0.005102040816326481
drop_pupil_min_z,P8,-0.014171793119161447
drop_pupil_min_z,P20,-0.030184853460715477
drop_pupil_min_z,P3,-0.012422360248447173
drop_pupil_min_z,P33,0.01567480793486986
drop_pupil_min_z,P4,-0.008714596949891074
drop_pupil_min_z,P9,-0.003955968352253092
drop_pupil_min_z,P13,-0.003673010026601198
drop_pupil_min_z,P21,-0.003642352029448792
drop_pupil_min_z,P26,0.001904761904761798
drop_pupil_min_z,P34,-0.008828748890860716
drop_pupil_min_z,P44,0.007326007326007411
drop_pupil_max_z,P22,2.2404445041812604e-05
drop_pupil_max_z,P24,0.0
drop_pupil_max_z,P30,-0.0033585435595486213
drop_pupil_max_z,P43,-0.0015015015015015787
drop_pupil_max_z,P48,0.011844331641285899
drop_pupil_max_z,P12,-0.006479541963412994
drop_pupil_max_z,P19,-0.03554769392033541
drop_pupil_max_z,P2,-0.009302325581395376
drop_pupil_max_z,P35,0.016666666666666607
drop_pupil_max_z,P40,0.010224948875255713
drop_pupil_max_z,P18,0.0021231422505307296
drop_pupil_max_z,P27,0.0064655774333193805
drop_pupil_max_z,P36,-0.0020071934099084032
drop_pupil_max_z,P46,0.021683673469387765
drop_pupil_max_z,P8,0.0142705247968406
drop_pupil_max_z,P20,0.0028797830521968826
drop_pupil_max_z,P3,-0.0165631469979296
drop_pupil_max_z,P33,-3.439972480223652e-05
drop_pupil_max_z,P4,0.002178649237472824
drop_pupil_max_z,P9,0.025386996904024794
drop_pupil_max_z,P13,0.011059954982606923
drop_pupil_max_z,P21,-0.0018114889082631036
drop_pupil_max_z,P26,-0.003809523809523929
drop_pupil_max_z,P34,0.003061224489795844
drop_pupil_max_z,P44,0.010979002782281477
drop_pupil_slope_z_s,P22,0.0019267822736031004
drop_pupil_slope_z_s,P24,-0.007718331316933391
drop_pupil_slope_z_s,P30,-0.0067255469265520285
drop_pupil_slope_z_s,P43,-0.009049773755656187
drop_pupil_slope_z_s,P48,0.005076142131979655
drop_pupil_slope_z_s,P12,-0.015039798910766733
drop_pupil_slope_z_s,P19,-0.01260482180293504
drop_pupil_slope_z_s,P2,0.010946895602405304
