model_id,fold,variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1
fold4_current_keep_smooth,4,current_keep_smooth,temporal,0.37490851395008445,2660,5,0.37548766863218647,0.35874613229304225
fold4_no_smooth,4,no_smooth,temporal,0.3538434292407538,2660,5,0.353363482049468,0.3504411894220309
fold4_current_no_smooth,4,current_no_smooth,temporal,0.35701345154557407,2660,5,0.35857333967864563,0.34193306144703445
fold4_drop_pupil_mean_z,4,drop_pupil_mean_z,variable,0.34525290421948907,2660,5,0.34473114284332756,0.34270629081683923
fold4_drop_pupil_std_z,4,drop_pupil_std_z,variable,0.34733383061639983,2660,5,0.34809297070043593,0.34373538272944604
fold4_drop_pupil_min_z,4,drop_pupil_min_z,variable,0.3516829184307055,2660,5,0.3541091410669795,0.3511548496438099
fold4_drop_pupil_max_z,4,drop_pupil_max_z,variable,0.3409927477212256,2660,5,0.3417086364958946,0.3381355775154456
fold4_drop_pupil_slope_z_s,4,drop_pupil_slope_z_s,variable,0.3458956211608678,2660,5,0.3462182193594798,0.34321718900798487
fold4_drop_gaze_dispersion_x_px,4,drop_gaze_dispersion_x_px,variable,0.3545027576343575,2660,5,0.354115927497173,0.3516634795513191
fold4_drop_gaze_dispersion_y_px,4,drop_gaze_dispersion_y_px,variable,0.34799840385339437,2660,5,0.34960337557037824,0.3470578729311637
fold4_drop_gaze_dispersion_2d_px,4,drop_gaze_dispersion_2d_px,variable,0.35539389457608367,2660,5,0.3548692212486522,0.3530860523745594
fold4_drop_gaze_path_length_px,4,drop_gaze_path_length_px,variable,0.34251546493427104,2660,5,0.3450878545803738,0.34213177137346956
fold4_drop_fixation_count,4,drop_fixation_count,variable,0.3471110201447509,2660,5,0.34884796105946353,0.34522586526461674
fold4_drop_fixation_total_ms,4,drop_fixation_total_ms,variable,0.34622248212068624,2660,5,0.34734137355650513,0.34405301939495203
fold4_drop_fixation_mean_ms,4,drop_fixation_mean_ms,variable,0.36201548844277015,2660,5,0.3635053778217765,0.36049311436553483
fold4_drop_fixation_median_ms,4,drop_fixation_median_ms,variable,0.35747286334539924,2660,5,0.35824419781426053,0.35496248057728613
fold4_drop_saccade_count,4,drop_saccade_count,variable,0.3498966195247079,2660,5,0.3507294988306133,0.3477174676560049
fold4_drop_saccade_mean_ms,4,drop_saccade_mean_ms,variable,0.35767942424098875,2660,5,0.35787094415361764,0.3545795025797321
fold4_drop_eeg_rms_uv,4,drop_eeg_rms_uv,variable,0.3449689454947739,2660,5,0.3462211884226894,0.3438472142265219
fold4_drop_eeg_std_uv,4,drop_eeg_std_uv,variable,0.34355576308540237,2660,5,0.3443468612336203,0.34270035090741685
fold4_drop_eeg_peak_to_peak_uv,4,drop_eeg_peak_to_peak_uv,variable,0.3463269467397744,2660,5,0.34734858413858566,0.3450806923627053
fold4_drop_eeg_delta_relative,4,drop_eeg_delta_relative,variable,0.34317506068556236,2660,5,0.34434389217041067,0.342418238846294
fold4_drop_eeg_theta_relative,4,drop_eeg_theta_relative,variable,0.34183628338485117,2660,5,0.341710333103443,0.3398375934218421
fold4_drop_eeg_alpha_relative,4,drop_eeg_alpha_relative,variable,0.34581814578126796,2660,5,0.3465986836022032,0.34422754695257113
fold4_drop_eeg_beta_relative,4,drop_eeg_beta_relative,variable,0.34381845113388787,2660,5,0.3447141767678439,0.3417574434168306
fold4_drop_eeg_gamma_relative,4,drop_eeg_gamma_relative,variable,0.3475193321208936,2660,5,0.3477248068624382,0.3451752771213183
fold4_drop_eeg_line_noise_ratio,4,drop_eeg_line_noise_ratio,variable,0.3538981970221381,2660,5,0.3544811222719611,0.3512997314115471
fold4_pca_0.8,4,pca_0.8,pca,0.33897357396203953,2660,5,0.3375154709400818,0.31806202614915374
fold4_pca_0.9,4,pca_0.9,pca,0.34941683599562084,2660,5,0.3503354617275028,0.34598262542984015
fold4_pca_0.95,4,pca_0.95,pca,0.3479595142385651,2660,5,0.348471738335611,0.3456330136553363
fold4_pca_full,4,pca_full,pca,0.3437623242154181,2660,5,0.34471629752727934,0.34192127313139714
fold5_reference,5,reference,reference,0.40384237645903875,2707,5,0.38103714879163136,0.37241155333880466
