scope,reference,participant,delta
catboost,previous_fixed_logistic,P3,0.012422360248447228
catboost,previous_fixed_logistic,P30,-0.08586281576231322
catboost,previous_fixed_logistic,P33,0.1031934411191377
catboost,previous_fixed_logistic,P34,0.05363797692990241
catboost,previous_fixed_logistic,P35,-0.04814814814814811
catboost,previous_fixed_logistic,P36,0.008162199791159064
catboost,previous_fixed_logistic,P4,0.015250544662309351
catboost,previous_fixed_logistic,P40,0.014131889217097071
catboost,previous_fixed_logistic,P43,0.06660280189691958
catboost,previous_fixed_logistic,P44,-0.024264897215716896
catboost,previous_fixed_logistic,P46,0.11479591836734693
catboost,previous_fixed_logistic,P48,0.006768189509306355
catboost,previous_fixed_logistic,P8,0.015686944634313083
catboost,previous_fixed_logistic,P9,-0.06232656805412223
catboost,unadjusted,P12,-0.014718614718614742
catboost,unadjusted,P13,0.010768365050132955
catboost,unadjusted,P18,0.005307855626326963
catboost,unadjusted,P19,-0.035377358490566
catboost,unadjusted,P2,0.015384336738390125
catboost,unadjusted,P20,0.0302190625466488
catboost,unadjusted,P21,-0.042545771578029634
catboost,unadjusted,P22,0.006542097952233761
catboost,unadjusted,P24,0.016366447103105197
catboost,unadjusted,P26,-0.04095238095238096
catboost,unadjusted,P27,-0.12052087697248992
catboost,unadjusted,P3,-0.018633540372670898
catboost,unadjusted,P30,-0.03424953048068627
catboost,unadjusted,P33,0.06254443297786949
catboost,unadjusted,P34,0.11814551907719612
catboost,unadjusted,P35,-0.007407407407407474
catboost,unadjusted,P36,0.035694396101635884
catboost,unadjusted,P4,0.1394335511982571
catboost,unadjusted,P40,0.010105026635360614
catboost,unadjusted,P43,0.03772097889744952
catboost,unadjusted,P44,-0.0035228887687903665
catboost,unadjusted,P46,0.09566326530612246
catboost,unadjusted,P48,0.005922165820643033
catboost,unadjusted,P8,0.021929824561403466
catboost,unadjusted,P9,-0.0484978786836372
catboost,global,P12,-0.021505376344086058
catboost,global,P13,0.000792919991815022
catboost,global,P18,-0.005307855626326963
catboost,global,P19,-0.010482180293501009
catboost,global,P2,0.027613562269071856
catboost,global,P20,0.025824749962680915
catboost,global,P21,-0.11217669282185411
catboost,global,P22,-0.07374983196666218
catboost,global,P24,-0.028027960747412317
catboost,global,P26,-0.006666666666666654
catboost,global,P27,-0.10038402457757295
catboost,global,P3,0.017598343685300222
catboost,global,P30,-0.051050708085883995
catboost,global,P33,0.045745900699460995
catboost,global,P34,0.05454747116237807
catboost,global,P35,0.016666666666666663
catboost,global,P36,0.0080345747766562
catboost,global,P4,0.016339869281045805
catboost,global,P40,0.0163157363225529
catboost,global,P43,0.06262823909882731
catboost,global,P44,0.0384765507716327
catboost,global,P46,0.21556122448979592
catboost,global,P48,0.032994923857868064
catboost,global,P8,0.02723855092276145
catboost,global,P9,-0.0067767457860337665
global,previous_late_geometric,P12,-0.040385421030582236
global,previous_late_geometric,P13,-0.01605790873746671
global,previous_late_geometric,P18,0.03609341825902335
global,previous_late_geometric,P19,-0.05402253668763096
global,previous_late_geometric,P2,-0.07724407737448374
global,previous_late_geometric,P20,0.008810394586256765
global,previous_late_geometric,P21,0.08930059091349418
global,previous_late_geometric,P22,-0.006379665725679939
global,previous_late_geometric,P24,-0.08139534883720928
global,previous_late_geometric,P26,-0.07523809523809516
global,previous_late_geometric,P27,-0.050370060047479515
global,previous_late_geometric,P3,-0.05072463768115948
global,previous_late_geometric,P30,0.00884895859770235
global,previous_late_geometric,P33,0.016832932003210677
global,previous_late_geometric,P34,0.03409494232475596
global,previous_late_geometric,P35,-0.018518518518518545
global,previous_late_geometric,P36,0.041420118343195256
global,previous_late_geometric,P4,0.05991285403050106
global,previous_late_geometric,P40,0.032530485495720685
global,previous_late_geometric,P43,-0.03663391898686014
global,previous_late_geometric,P44,-0.1214395804559738
global,previous_late_geometric,P46,-0.11607142857142849
global,previous_late_geometric,P48,-0.016074450084602343
global,previous_late_geometric,P8,0.04253056884635831
global,previous_late_geometric,P9,-0.03990941405802079
global,previous_fixed_logistic,P12,0.022496857980729035
global,previous_fixed_logistic,P13,0.016907100470636427
global,previous_fixed_logistic,P18,0.014861995753715551
global,previous_fixed_logistic,P19,-0.058084381551362696
global,previous_fixed_logistic,P2,-0.044533797000651965
global,previous_fixed_logistic,P20,-0.011410285117181618
global,previous_fixed_logistic,P21,0.042521553811876445
global,previous_fixed_logistic,P22,0.055310973697181576
global,previous_fixed_logistic,P24,0.015111798180759084
global,previous_fixed_logistic,P26,-0.025714285714285745
global,previous_fixed_logistic,P27,0.010040497137271287
global,previous_fixed_logistic,P3,-0.005175983436852993
global,previous_fixed_logistic,P30,-0.03481210767642923
global,previous_fixed_logistic,P33,0.0574475404196767
global,previous_fixed_logistic,P34,-0.0009094942324756605
global,previous_fixed_logistic,P35,-0.06481481481481477
global,previous_fixed_logistic,P36,0.00012762501450286345
global,previous_fixed_logistic,P4,-0.0010893246187364536
global,previous_fixed_logistic,P40,-0.0021838471054558273
global,previous_fixed_logistic,P43,0.003974562798092274
global,previous_fixed_logistic,P44,-0.0627414479873496
global,previous_fixed_logistic,P46,-0.100765306122449
global,previous_fixed_logistic,P48,-0.02622673434856171
global,previous_fixed_logistic,P8,-0.011551606288448368
global,previous_fixed_logistic,P9,-0.05554982226808847
global,unadjusted,P12,0.006786761625471316
global,unadjusted,P13,0.009975445058317933
global,unadjusted,P18,0.010615711252653925
global,unadjusted,P19,-0.024895178197064993
global,unadjusted,P2,-0.012229225530681731
global,unadjusted,P20,0.004394312583967885
global,unadjusted,P21,0.06963092124382447
global,unadjusted,P22,0.08029192991889594
global,unadjusted,P24,0.044394407850517514
global,unadjusted,P26,-0.03428571428571431
global,unadjusted,P27,-0.02013685239491697
global,unadjusted,P3,-0.03623188405797112
global,unadjusted,P30,0.016801177605197726
global,unadjusted,P33,0.016798532278408496
global,unadjusted,P34,0.06359804791481805
global,unadjusted,P35,-0.024074074074074137
global,unadjusted,P36,0.027659821324979683
global,unadjusted,P4,0.12309368191721129
global,unadjusted,P40,-0.006210709687192284
global,unadjusted,P43,-0.02490726020137779
global,unadjusted,P44,-0.04199943954042307
global,unadjusted,P46,-0.11989795918367346
global,unadjusted,P48,-0.02707275803722503
global,unadjusted,P8,-0.005308726361357985
global,unadjusted,P9,-0.04172113289760343
