fold,inner,candidate_id,base_id,panel,context,family,weighting,smoothing,low_bias,high_bias,score
1,1,eye_pupil__8__logistic__participant__1__0.3__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.3,-0.3,0.3244291236417514
1,1,eye_pupil__8__logistic__participant__1__0.3__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.3,0.0,0.3124479287362941
1,1,eye_pupil__8__logistic__participant__1__0.3__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,1,0.3,0.3,0.3067959053106952
1,1,eye_pupil__8__logistic__participant__4__-0.3__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,-0.3,-0.3,0.3279188058026083
1,1,eye_pupil__8__logistic__participant__4__-0.3__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,-0.3,0.0,0.32489833226475884
1,1,eye_pupil__8__logistic__participant__4__-0.3__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,-0.3,0.3,0.3262335376668522
1,1,eye_pupil__8__logistic__participant__4__0.0__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.0,-0.3,0.32793033160628093
1,1,eye_pupil__8__logistic__participant__4__0.0__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.0,0.0,0.31210788625226626
1,1,eye_pupil__8__logistic__participant__4__0.0__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.0,0.3,0.3083780520181522
1,1,eye_pupil__8__logistic__participant__4__0.3__-0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.3,-0.3,0.3287445248480537
1,1,eye_pupil__8__logistic__participant__4__0.3__0.0,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.3,0.0,0.3211068557343017
1,1,eye_pupil__8__logistic__participant__4__0.3__0.3,eye_pupil__8__logistic__participant,eye_pupil,8,logistic,participant,4,0.3,0.3,0.2992766937842998
1,1,eye_pupil__8__ordinal__global__1__-0.3__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,-0.3,-0.3,0.3220842820061128
1,1,eye_pupil__8__ordinal__global__1__-0.3__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,-0.3,0.0,0.3278676050684048
1,1,eye_pupil__8__ordinal__global__1__-0.3__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,-0.3,0.3,0.3323851056194631
1,1,eye_pupil__8__ordinal__global__1__0.0__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.0,-0.3,0.3332631438275091
1,1,eye_pupil__8__ordinal__global__1__0.0__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.0,0.0,0.3292501364168404
1,1,eye_pupil__8__ordinal__global__1__0.0__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.0,0.3,0.3211837735298967
1,1,eye_pupil__8__ordinal__global__1__0.3__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.3,-0.3,0.32803078354986476
1,1,eye_pupil__8__ordinal__global__1__0.3__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.3,0.0,0.32114312831071046
1,1,eye_pupil__8__ordinal__global__1__0.3__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,1,0.3,0.3,0.3157980952005654
1,1,eye_pupil__8__ordinal__global__4__-0.3__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,-0.3,-0.3,0.3183472328268789
1,1,eye_pupil__8__ordinal__global__4__-0.3__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,-0.3,0.0,0.32507981449124485
1,1,eye_pupil__8__ordinal__global__4__-0.3__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,-0.3,0.3,0.3350923468188593
1,1,eye_pupil__8__ordinal__global__4__0.0__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.0,-0.3,0.34047848754937354
1,1,eye_pupil__8__ordinal__global__4__0.0__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.0,0.0,0.33352328757457766
1,1,eye_pupil__8__ordinal__global__4__0.0__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.0,0.3,0.3208677353372764
1,1,eye_pupil__8__ordinal__global__4__0.3__-0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.3,-0.3,0.3367209006864589
1,1,eye_pupil__8__ordinal__global__4__0.3__0.0,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.3,0.0,0.33395136011183524
1,1,eye_pupil__8__ordinal__global__4__0.3__0.3,eye_pupil__8__ordinal__global,eye_pupil,8,ordinal,global,4,0.3,0.3,0.3104376901555928
1,1,eye_pupil__8__ordinal__participant__1__-0.3__-0.3,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,-0.3,-0.3,0.32282117945976857
1,1,eye_pupil__8__ordinal__participant__1__-0.3__0.0,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,-0.3,0.0,0.32739533181074587
1,1,eye_pupil__8__ordinal__participant__1__-0.3__0.3,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,-0.3,0.3,0.322414440432892
1,1,eye_pupil__8__ordinal__participant__1__0.0__-0.3,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,0.0,-0.3,0.3161052905285601
1,1,eye_pupil__8__ordinal__participant__1__0.0__0.0,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,0.0,0.0,0.3135927616193226
1,1,eye_pupil__8__ordinal__participant__1__0.0__0.3,eye_pupil__8__ordinal__participant,eye_pupil,8,ordinal,participant,1,0.0,0.3,0.3118060788683079
