task,scope,reference,participant,delta
attention,late_weighted,early,P26,0.0009523809523809268
attention,late_weighted,early,P27,-0.012805474095796687
attention,late_weighted,early,P3,0.03416149068322988
attention,late_weighted,early,P30,0.024241578261678776
attention,late_weighted,early,P33,-0.02739938080495352
attention,late_weighted,early,P34,0.018459816291088615
attention,late_weighted,early,P35,0.011111111111111127
attention,late_weighted,early,P36,-0.005928762037359314
attention,late_weighted,early,P4,-0.03812636165577338
attention,late_weighted,early,P40,-0.027582115175843913
attention,late_weighted,early,P43,-0.01972674031497562
attention,late_weighted,early,P44,-0.006330190756420273
attention,late_weighted,early,P46,0.011904761904761862
attention,late_weighted,early,P48,-0.03468697123519465
attention,late_weighted,early,P8,-0.007993468519784275
attention,late_weighted,early,P9,0.03443985781447079
attention,late_weighted,fixed_logistic,P12,0.054182376763021955
attention,late_weighted,fixed_logistic,P13,-0.03877634540617969
attention,late_weighted,fixed_logistic,P18,-0.009554140127388533
attention,late_weighted,fixed_logistic,P19,-0.0029350104821803114
attention,late_weighted,fixed_logistic,P2,0.060809244367166504
attention,late_weighted,fixed_logistic,P20,0.07192926804995775
attention,late_weighted,fixed_logistic,P21,0.04924924924924928
attention,late_weighted,fixed_logistic,P22,0.026930142940359336
attention,late_weighted,fixed_logistic,P24,0.038614061029708324
attention,late_weighted,fixed_logistic,P26,-0.0009523809523809268
attention,late_weighted,fixed_logistic,P27,0.018963831867057634
attention,late_weighted,fixed_logistic,P3,0.036231884057971064
attention,late_weighted,fixed_logistic,P30,-0.048153224032620956
attention,late_weighted,fixed_logistic,P33,-0.023523678477238796
attention,late_weighted,fixed_logistic,P34,0.03598330299416225
attention,late_weighted,fixed_logistic,P35,0.0490740740740741
attention,late_weighted,fixed_logistic,P36,-0.019689059055574887
attention,late_weighted,fixed_logistic,P4,-0.03594771241830064
attention,late_weighted,fixed_logistic,P40,-0.07514075083945565
attention,late_weighted,fixed_logistic,P43,-0.009783539195303836
attention,late_weighted,fixed_logistic,P44,0.0026171460597690377
attention,late_weighted,fixed_logistic,P46,0.047619047619047616
attention,late_weighted,fixed_logistic,P48,0.07106598984771573
attention,late_weighted,fixed_logistic,P8,-0.06177565124933543
attention,late_weighted,fixed_logistic,P9,0.03638917555326221
attention,late_mean,early,P12,0.024954615277196
attention,late_mean,early,P13,0.03060159607120938
attention,late_mean,early,P18,0.011677282377919318
attention,late_mean,early,P19,-0.025150681341718994
attention,late_mean,early,P2,0.03429326957907697
attention,late_mean,early,P20,0.07049248644076234
attention,late_mean,early,P21,0.021621621621621623
attention,late_mean,early,P22,-0.026812519603889473
attention,late_mean,early,P24,0.01462450150109773
attention,late_mean,early,P26,-0.0019047619047618536
attention,late_mean,early,P27,0.007505934925289837
attention,late_mean,early,P3,0.03416149068322988
attention,late_mean,early,P30,0.024241578261678776
attention,late_mean,early,P33,-0.02739938080495352
attention,late_mean,early,P34,-0.010283932793505313
attention,late_mean,early,P35,0.0037037037037036535
attention,late_mean,early,P36,0.009803921568627472
attention,late_mean,early,P4,-0.03812636165577338
attention,late_mean,early,P40,-0.016221060870004356
attention,late_mean,early,P43,-0.01972674031497562
attention,late_mean,early,P44,-0.001085890430152725
attention,late_mean,early,P46,0.0
attention,late_mean,early,P48,-0.03468697123519465
attention,late_mean,early,P8,-0.029562542720437457
attention,late_mean,early,P9,0.03443985781447079
attention,late_mean,fixed_logistic,P12,0.04450495740818328
attention,late_mean,fixed_logistic,P13,-0.021071209330877805
attention,late_mean,fixed_logistic,P18,-0.00849256900212314
attention,late_mean,fixed_logistic,P19,-0.03759171907756814
attention,late_mean,fixed_logistic,P2,0.04833007317249871
attention,late_mean,fixed_logistic,P20,0.07192926804995775
attention,late_mean,fixed_logistic,P21,0.060234427976363525
attention,late_mean,fixed_logistic,P22,0.026930142940359336
attention,late_mean,fixed_logistic,P24,0.038614061029708324
attention,late_mean,fixed_logistic,P26,-0.003809523809523707
attention,late_mean,fixed_logistic,P27,0.03927524088814416
attention,late_mean,fixed_logistic,P3,0.036231884057971064
attention,late_mean,fixed_logistic,P30,-0.048153224032620956
attention,late_mean,fixed_logistic,P33,-0.023523678477238796
attention,late_mean,fixed_logistic,P34,0.007239553909568319
attention,late_mean,fixed_logistic,P35,0.04166666666666663
attention,late_mean,fixed_logistic,P36,-0.003956375449588101
attention,late_mean,fixed_logistic,P4,-0.03594771241830064
attention,late_mean,fixed_logistic,P40,-0.06377969653361609
attention,late_mean,fixed_logistic,P43,-0.009783539195303836
attention,late_mean,fixed_logistic,P44,0.007861446386036586
attention,late_mean,fixed_logistic,P46,0.035714285714285754
attention,late_mean,fixed_logistic,P48,0.07106598984771573
attention,late_mean,fixed_logistic,P8,-0.08334472544998861
attention,late_mean,fixed_logistic,P9,0.03638917555326221
attention,late_geometric,early,P12,0.0227901131126938
attention,late_geometric,early,P13,0.03244833231021077
attention,late_geometric,early,P18,0.010615711252653925
attention,late_geometric,early,P19,-0.022025681341719006
attention,late_geometric,early,P2,0.03429326957907697
attention,late_geometric,early,P20,0.06905881474846998
attention,late_geometric,early,P21,0.021621621621621623
attention,late_geometric,early,P22,-0.02391114397096389
attention,late_geometric,early,P24,0.010770936953891586
attention,late_geometric,early,P26,-0.0009523809523809268
attention,late_geometric,early,P27,0.006423683843038708
attention,late_geometric,early,P3,0.031055900621118016
attention,late_geometric,early,P30,0.025079099199702193
attention,late_geometric,early,P33,-0.029348698543745
attention,late_geometric,early,P34,-0.009347603205490329
attention,late_geometric,early,P35,0.005555555555555536
attention,late_geometric,early,P36,0.009798120431604607
attention,late_geometric,early,P4,-0.03703703703703698
attention,late_geometric,early,P40,-0.016221060870004356
attention,late_geometric,early,P43,-0.015972986561221925
attention,late_geometric,early,P44,-0.001996637242538901
attention,late_geometric,early,P46,-0.003401360544217691
attention,late_geometric,early,P48,-0.03468697123519465
attention,late_geometric,early,P8,-0.029562542720437457
attention,late_geometric,early,P9,0.03542024997133353
attention,late_geometric,fixed_logistic,P12,0.042340455243681074
attention,late_geometric,fixed_logistic,P13,-0.019224473091876415
attention,late_geometric,fixed_logistic,P18,-0.009554140127388533
attention,late_geometric,fixed_logistic,P19,-0.03446671907756815
attention,late_geometric,fixed_logistic,P2,0.04833007317249871
attention,late_geometric,fixed_logistic,P20,0.07049559635766539
attention,late_geometric,fixed_logistic,P21,0.060234427976363525
attention,late_geometric,fixed_logistic,P22,0.02983151857328492
attention,late_geometric,fixed_logistic,P24,0.03476049648250218
attention,late_geometric,fixed_logistic,P26,-0.0028571428571427804
attention,late_geometric,fixed_logistic,P27,0.03819298980589303
attention,late_geometric,fixed_logistic,P3,0.0331262939958592
attention,late_geometric,fixed_logistic,P30,-0.04731570309459754
attention,late_geometric,fixed_logistic,P33,-0.025472996216030275
attention,late_geometric,fixed_logistic,P34,0.008175883497583303
attention,late_geometric,fixed_logistic,P35,0.04351851851851851
attention,late_geometric,fixed_logistic,P36,-0.003962176586610966
attention,late_geometric,fixed_logistic,P4,-0.03485838779956424
attention,late_geometric,fixed_logistic,P40,-0.06377969653361609
attention,late_geometric,fixed_logistic,P43,-0.0060297854415501395
attention,late_geometric,fixed_logistic,P44,0.00695069957365041
attention,late_geometric,fixed_logistic,P46,0.03231292517006806
