model_id,task,fold,scope,seed,participant,score
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,P3,0.33126293995859213
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,P33,0.3432289875014333
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,P4,0.32679738562091504
attention__fold4__late_weighted__20260911,attention,4,late_weighted,20260911,P9,0.33296640293544316
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,P20,0.33789869134696726
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,P3,0.3354037267080745
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,P33,0.3453847035890379
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,P4,0.3006535947712418
attention__fold4__unimodal__20260910,attention,4,unimodal,20260910,P9,0.311260176585254
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,P20,0.33789869134696726
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,P3,0.3354037267080745
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,P33,0.3453847035890379
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,P4,0.3006535947712418
attention__fold4__unimodal__20260911,attention,4,unimodal,20260911,P9,0.311260176585254
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,P20,0.32631114096631336
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,P3,0.2857142857142857
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,P33,0.3725948859075794
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,P4,0.355119825708061
attention__fold4__fixed_logistic__20260910,attention,4,fixed_logistic,20260910,P9,0.29560830180025227
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,P20,0.32631114096631336
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,P3,0.2857142857142857
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,P33,0.3725948859075794
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,P4,0.355119825708061
attention__fold4__fixed_logistic__20260911,attention,4,fixed_logistic,20260911,P9,0.29560830180025227
attention__fold5__early__20260910,attention,5,early,20260910,P13,0.2672396153059136
attention__fold5__early__20260910,attention,5,early,20260910,P21,0.35527462946817784
attention__fold5__early__20260910,attention,5,early,20260910,P26,0.34095238095238095
attention__fold5__early__20260910,attention,5,early,20260910,P34,0.3132676333354257
attention__fold5__early__20260910,attention,5,early,20260910,P44,0.32562701415160433
attention__fold5__early__20260911,attention,5,early,20260911,P13,0.29663392674442396
attention__fold5__early__20260911,attention,5,early,20260911,P21,0.36058316380897026
attention__fold5__early__20260911,attention,5,early,20260911,P26,0.3523809523809524
attention__fold5__early__20260911,attention,5,early,20260911,P34,0.3521854664909087
attention__fold5__early__20260911,attention,5,early,20260911,P44,0.33487459716967916
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,P13,0.30053202373644367
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,P21,0.3768768768768769
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,P26,0.3371428571428572
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,P34,0.3187182223338146
attention__fold5__late_mean__20260910,attention,5,late_mean,20260910,P44,0.3218339038011169
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,P13,0.32454471045631267
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,P21,0.3822241596435145
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,P26,0.3523809523809524
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,P34,0.3261670119055092
attention__fold5__late_mean__20260911,attention,5,late_mean,20260911,P44,0.3364959266598611
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,P13,0.30422549621444644
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,P21,0.3768768768768769
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,P26,0.3371428571428572
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,P34,0.31872868411692085
attention__fold5__late_geometric__20260910,attention,5,late_geometric,20260910,P44,0.32001241017634463
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,P13,0.32454471045631267
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,P21,0.3822241596435145
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,P26,0.35428571428571426
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,P34,0.3280292092984328
attention__fold5__late_geometric__20260911,attention,5,late_geometric,20260911,P44,0.3364959266598611
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,P13,0.2855944342132187
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,P21,0.3694759275404437
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,P26,0.35047619047619044
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,P34,0.35207038687673925
attention__fold5__late_weighted__20260910,attention,5,late_weighted,20260910,P44,0.3202726235513121
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,P13,0.3040720278289339
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,P21,0.3676547515257192
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,P26,0.34476190476190477
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,P34,0.3503023455317724
attention__fold5__late_weighted__20260911,attention,5,late_weighted,20260911,P44,0.32756860625713086
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,P13,0.3114078166564354
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,P21,0.3423810907681875
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,P26,0.33142857142857146
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,P34,0.38919925512104286
attention__fold5__unimodal__20260910,attention,5,unimodal,20260910,P44,0.3038591645149022
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,P13,0.31512175158584
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,P21,0.33697568536278216
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,P26,0.3352380952380953
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,P34,0.38934572008453117
attention__fold5__unimodal__20260911,attention,5,unimodal,20260911,P44,0.3203827138253368
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,P13,0.33360957642725597
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,P21,0.3193160902838322
