fold,inner,candidate_id,family,window,score,alpha,shrink,temperature
3,3,ema_0.02,ema,,0.3366577766296502,0.02,,
3,3,ema_0.1,ema,,0.3385055289754362,0.1,,
3,3,ema_0.3,ema,,0.33345325297951955,0.3,,
3,3,hmm_0.01_0.25,hmm,,0.33981463068319856,,0.01,0.25
3,3,hmm_0.01_1.0,hmm,,0.3471785671345183,,0.01,1.0
3,3,hmm_0.01_4.0,hmm,,0.37475501589408766,,0.01,4.0
3,3,hmm_0.1_0.25,hmm,,0.3410517534303202,,0.1,0.25
3,3,hmm_0.1_1.0,hmm,,0.3449328761702055,,0.1,1.0
3,3,hmm_0.1_4.0,hmm,,0.37661129061556464,,0.1,4.0
3,3,hmm_0.5_0.25,hmm,,0.3476051665554232,,0.5,0.25
3,3,hmm_0.5_1.0,hmm,,0.34711279597909883,,0.5,1.0
3,3,hmm_0.5_4.0,hmm,,0.3630868351477506,,0.5,4.0
4,1,mean_1,mean,1.0,0.3326437681084743,,,
4,1,mean_4,mean,4.0,0.33313548346165417,,,
4,1,mean_16,mean,16.0,0.3407650645826016,,,
4,1,mean_64,mean,64.0,0.3435186109939279,,,
4,1,ema_0.02,ema,,0.34392410951130076,0.02,,
4,1,ema_0.1,ema,,0.33563493954897394,0.1,,
4,1,ema_0.3,ema,,0.3320349000645648,0.3,,
4,1,hmm_0.01_0.25,hmm,,0.3294241248655598,,0.01,0.25
4,1,hmm_0.01_1.0,hmm,,0.3260231121566243,,0.01,1.0
4,1,hmm_0.01_4.0,hmm,,0.3244761772668243,,0.01,4.0
4,1,hmm_0.1_0.25,hmm,,0.3288848522321167,,0.1,0.25
4,1,hmm_0.1_1.0,hmm,,0.32544759376079935,,0.1,1.0
4,1,hmm_0.1_4.0,hmm,,0.32150359459222055,,0.1,4.0
4,1,hmm_0.5_0.25,hmm,,0.3290119055824901,,0.5,0.25
4,1,hmm_0.5_1.0,hmm,,0.3192479256027304,,0.5,1.0
4,1,hmm_0.5_4.0,hmm,,0.3157905112652949,,0.5,4.0
4,2,mean_1,mean,1.0,0.33221265136167893,,,
4,2,mean_4,mean,4.0,0.3160437683415909,,,
4,2,mean_16,mean,16.0,0.2975596648262515,,,
4,2,mean_64,mean,64.0,0.300211271538772,,,
4,2,ema_0.02,ema,,0.3300853084205365,0.02,,
4,2,ema_0.1,ema,,0.30156380759882323,0.1,,
4,2,ema_0.3,ema,,0.30831476877782854,0.3,,
4,2,hmm_0.01_0.25,hmm,,0.31023767479928227,,0.01,0.25
4,2,hmm_0.01_1.0,hmm,,0.3190290153825219,,0.01,1.0
4,2,hmm_0.01_4.0,hmm,,0.33903768032470005,,0.01,4.0
4,2,hmm_0.1_0.25,hmm,,0.3171916714629136,,0.1,0.25
4,2,hmm_0.1_1.0,hmm,,0.32262640513348156,,0.1,1.0
4,2,hmm_0.1_4.0,hmm,,0.3397242749797594,,0.1,4.0
4,2,hmm_0.5_0.25,hmm,,0.32749522130123754,,0.5,0.25
4,2,hmm_0.5_1.0,hmm,,0.3321237629018231,,0.5,1.0
4,2,hmm_0.5_4.0,hmm,,0.3407410644495871,,0.5,4.0
4,3,mean_1,mean,1.0,0.34701914345207047,,,
4,3,mean_4,mean,4.0,0.34604170714300586,,,
4,3,mean_16,mean,16.0,0.35604671702402885,,,
4,3,mean_64,mean,64.0,0.3560925501129079,,,
4,3,ema_0.02,ema,,0.34808610998789774,0.02,,
4,3,ema_0.1,ema,,0.35599671073528394,0.1,,
4,3,ema_0.3,ema,,0.3468201711999459,0.3,,
4,3,hmm_0.01_0.25,hmm,,0.3447619273685422,,0.01,0.25
4,3,hmm_0.01_1.0,hmm,,0.33841919257919023,,0.01,1.0
4,3,hmm_0.01_4.0,hmm,,0.3365110121725016,,0.01,4.0
4,3,hmm_0.1_0.25,hmm,,0.34195442315736124,,0.1,0.25
4,3,hmm_0.1_1.0,hmm,,0.3355862738432508,,0.1,1.0
4,3,hmm_0.1_4.0,hmm,,0.33477478368355756,,0.1,4.0
4,3,hmm_0.5_0.25,hmm,,0.3489794617840717,,0.5,0.25
4,3,hmm_0.5_1.0,hmm,,0.3414736105930369,,0.5,1.0
4,3,hmm_0.5_4.0,hmm,,0.3322180450331973,,0.5,4.0
5,1,mean_1,mean,1.0,0.33948539373094594,,,
5,1,mean_4,mean,4.0,0.3382763826169088,,,
5,1,mean_16,mean,16.0,0.3484056271433136,,,
5,1,mean_64,mean,64.0,0.3495547459501581,,,
5,1,ema_0.02,ema,,0.3501881721500307,0.02,,
5,1,ema_0.1,ema,,0.3513671051323947,0.1,,
5,1,ema_0.3,ema,,0.3411352941437266,0.3,,
5,1,hmm_0.01_0.25,hmm,,0.3472822527698766,,0.01,0.25
5,1,hmm_0.01_1.0,hmm,,0.3492571810774178,,0.01,1.0
5,1,hmm_0.01_4.0,hmm,,0.3395000049782105,,0.01,4.0
5,1,hmm_0.1_0.25,hmm,,0.34817920337952957,,0.1,0.25
5,1,hmm_0.1_1.0,hmm,,0.34804012666399997,,0.1,1.0
5,1,hmm_0.1_4.0,hmm,,0.3396400283278323,,0.1,4.0
