task,kind,subset,architecture,seed,split,reference_scope,baseline,baseline_subset,participant,gain
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P23,-0.032355598250802586
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P28,-0.011537276536887187
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P31,-8.75368045536451e-05
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P32,0.014704029781015704
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P38,-4.710323349488288e-05
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P41,-0.011285637253367398
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P47,-0.0075229090367574525
attention_primary,regression,full,TCN,20260908,validation,matched,ridge,full,P6,0.012398785327000228
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P23,-0.032355598250802586
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P28,-0.011537276536887187
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P31,-8.75368045536451e-05
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P32,0.014704029781015704
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P38,-4.710323349488288e-05
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P41,-0.011285637253367398
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P47,-0.0075229090367574525
attention_primary,regression,full,TCN,20260908,validation,full,ridge,full,P6,0.012398785327000228
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P10,7.170210393958598e-05
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P11,-0.02128071451491742
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P15,-0.007107382541520657
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P16,-0.008158782020537547
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P37,-0.001674258225280667
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P39,0.01398056659871516
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P45,0.0058787454638897785
attention_primary,regression,full,TCN,20260908,test,matched,ridge,full,P5,0.010509251117393426
attention_primary,regression,full,TCN,20260908,test,full,ridge,full,P10,7.170210393958598e-05
attention_primary,regression,full,TCN,20260908,test,full,ridge,full,P11,-0.02128071451491742
attention_primary,regression,full,TCN,20260908,test,full,ridge,full,P15,-0.007107382541520657
