task,kind,subset,architecture,seed,split,feature,baseline,temporal_importance,temporal_low,temporal_high,baseline_importance,differential_importance,differential_low,differential_high,positive_participants,participants,gain_before,gain_after,repeats
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_gamma_relative,ridge,0.0012507152354044844,-0.0012029967956435174,0.0037425418834238777,0.009686811047668196,-0.00843609581226371,-0.019771136220491994,0.00038251152629352394,2,8,-0.004634813666847218,0.003801282145416491,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,eeg_line_noise_ratio,ridge,-0.00050259208354069,-0.0020379877365645418,0.0009569301859085568,-7.916272089026899e-05,-0.00042342936265042105,-0.001994698219861847,0.0009740031157091221,4,8,-0.004634813666847218,-0.004211384304196796,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,gaze_dispersion_x_px,ridge,0.0018575396387543741,0.0007382592032507923,0.0030291959538374523,9.658461398084906e-06,0.0018478811773562894,0.0007405354170085511,0.003014414575156682,7,8,-0.004634813666847218,-0.006482694844203508,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,gaze_dispersion_y_px,ridge,0.0010624061529355938,-0.00020767757427630213,0.0027323559613128597,0.0002746344384852855,0.0007877717144503082,-0.0002602344512320511,0.00199857891490444,6,8,-0.004634813666847218,-0.005422585381297527,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,gaze_dispersion_2d_px,ridge,0.0018285400862643351,5.344524559129089e-05,0.003651252783551883,-7.25240959779355e-05,0.0019010641822422708,-1.1540133054682584e-05,0.003890344131222914,7,8,-0.004634813666847218,-0.00653587784908949,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,gaze_path_length_px,ridge,0.0004218468017378185,-0.0010798780295650896,0.001770212113981084,0.0003932624777724353,2.8584323965383257e-05,-0.001927795868625862,0.0017591622685151215,4,8,-0.004634813666847218,-0.004663397990812602,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,fixation_count,ridge,0.0007711647258636239,-0.000639022757153863,0.002140118355951404,0.0007423775394699711,2.8787186393652744e-05,-0.00288815908718407,0.0028166969591212204,5,8,-0.004634813666847218,-0.004663600853240871,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,fixation_total_ms,ridge,0.0033059911507857366,-0.001300328109290203,0.009070863424806536,-8.31650267155981e-06,0.0033143076534572964,-0.0012650721287286542,0.009044680189452927,5,8,-0.004634813666847218,-0.007949121320304516,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,fixation_mean_ms,ridge,-0.0015471582491797004,-0.0028389968207012243,-0.0004533751843632666,0.0031432135515209406,-0.004690371800700642,-0.013918321362373389,0.0011943300704971322,3,8,-0.004634813666847218,5.555813385342383e-05,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,fixation_median_ms,ridge,0.0008009331364814327,-0.001882398400785658,0.0035754354356098647,0.00013986408291050134,0.0006610690535709314,-0.0017081812506622356,0.003037673655116838,5,8,-0.004634813666847218,-0.005295882720418149,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,saccade_count,ridge,-0.0003112708128075735,-0.0019302915465146616,0.0013261815416823815,-0.0002935448751234054,-1.772593768416817e-05,-0.002106332225832832,0.002057446731971295,4,8,-0.004634813666847218,-0.00461708772916305,5
arousal_primary_6s,regression,full,BiLSTM,20260907,test,saccade_mean_ms,ridge,0.0002019029313732961,-0.0033382023239031094,0.004242432466208562,0.002817935038972513,-0.0026160321075992168,-0.0060292725103786166,0.0008934305806167741,3,8,-0.004634813666847218,-0.0020187815592479993,5
