task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P32,-0.00628611207796731,-0.0039563754495881565,-0.002329736628379153
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P38,-0.003423468640859917,-0.0002478198130371978,-0.0031756488278227193
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P41,0.004212370005473465,0.003518336070060224,0.0006940339354132405
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P47,0.02026029672049373,0.0010938015297934588,0.019166495190700274
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_alpha_relative,P6,0.0026588003933136093,0.011282858079318281,-0.00862405768600467
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P23,0.011111111111111117,0.009178743961352664,0.001932367149758453
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P28,0.006306306306306342,0.0008132293367192567,0.005493076969587085
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P31,-0.0003418803418803296,-0.01572649572649567,0.01538461538461534
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P32,0.009026569207564662,0.006761805313841518,0.0022647638937231436
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P38,0.011104837191793693,-0.0041355584833845495,0.015240395675178244
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P41,0.0011384783798576881,0.0381609195402299,-0.03702244116037221
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P47,0.006905432080204743,0.0029641803790492528,0.003941251701155491
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_beta_relative,P6,0.0002962962962962501,0.014180268764339577,-0.013883972468043328
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P23,0.008212560386473399,-0.013526570048309195,0.021739130434782594
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P28,0.0045045045045045366,-0.006738617812443304,0.01124312231694784
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P31,-0.0017094017094017033,-0.01401709401709399,0.012307692307692287
