task,subset,kind,architecture,seed,epoch,train_loss,validation_macro_score
attention_primary,full,regression,TCN,20260908,5,0.9988254873895744,-1.0051155686618292
attention_primary,full,regression,TCN,20260908,6,0.995519290200284,-1.006550150930583
attention_primary,full,regression,TCN,20260908,7,0.9899073387877683,-1.0089614613793065
attention_primary,full,regression,TCN,20260908,8,0.9913517869248683,-1.009922925733067
attention_primary,full,regression,LSTM,20260907,1,1.008051065854228,-1.002852861609811
attention_primary,full,regression,LSTM,20260907,2,0.9983224160076775,-1.0043057789583583
attention_primary,full,regression,LSTM,20260907,3,0.9921497945706543,-1.0073971493513019
attention_primary,full,regression,LSTM,20260907,4,0.9901301779714572,-1.0127227040596427
attention_primary,full,regression,LSTM,20260907,5,0.9896266872415315,-1.0133331489137178
attention_primary,full,regression,LSTM,20260907,6,0.9836541860634601,-1.017098239966625
attention_primary,full,regression,LSTM,20260907,7,0.9845683858860741,-1.0204643057085896
attention_primary,full,regression,LSTM,20260907,8,0.9806187326687393,-1.020332535419247
attention_primary,full,regression,LSTM,20260908,1,1.007699049830754,-1.001460675148903
attention_primary,full,regression,LSTM,20260908,2,0.9977594754005529,-1.002568097159032
attention_primary,full,regression,LSTM,20260908,3,0.9932805553620753,-1.0050075453839824
attention_primary,full,regression,LSTM,20260908,4,0.9901992779658131,-1.0082426075758892
attention_primary,full,regression,LSTM,20260908,5,0.9880042735622748,-1.011407515184275
attention_primary,full,regression,LSTM,20260908,6,0.9862279912946634,-1.0138785219251865
attention_primary,full,regression,LSTM,20260908,7,0.984573019922432,-1.0168718398290157
attention_primary,full,regression,LSTM,20260908,8,0.9844206067381156,-1.016543465167442
attention_primary,full,regression,BiLSTM,20260907,1,1.0002726518483742,-1.0019132111735751
attention_primary,full,regression,BiLSTM,20260907,2,0.9933877919278036,-1.0057243766640172
attention_primary,full,regression,BiLSTM,20260907,3,0.9906186738404886,-1.0094494391463473
