task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
attention_primary,classification,compact_no_noise,LSTM,20260907,validation,all,0.33185493641563113,4662,8,0.33243988057501,0.3281562200856527,,,
attention_primary,classification,compact_no_noise,LSTM,20260907,validation,history_8,0.3340529798891788,1591,8,0.33627310514542064,0.33519727174777864,,,
attention_primary,classification,compact_no_noise,LSTM,20260907,test,all,0.3236448345839708,4025,8,0.32324362190134004,0.31518162922834486,,,
attention_primary,classification,compact_no_noise,LSTM,20260907,test,history_8,0.31551251442366557,1375,8,0.31224092254947794,0.3121568238406666,,,
attention_primary,classification,compact_no_noise,LSTM,20260908,validation,all,0.33250397752227323,4662,8,0.3330094446384834,0.31411606298945616,,,
attention_primary,classification,compact_no_noise,LSTM,20260908,validation,history_8,0.3240929090140736,1591,8,0.31834094848408784,0.301463759029493,,,
attention_primary,classification,compact_no_noise,LSTM,20260908,test,all,0.3316884013332053,4025,8,0.33090782397636836,0.3133838616806139,,,
attention_primary,classification,compact_no_noise,LSTM,20260908,test,history_8,0.3301340368649942,1375,8,0.33077710248818243,0.32953080861581924,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260907,validation,all,0.3425577159135722,4662,8,0.3419795613542851,0.33650120373119136,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260907,validation,history_8,0.35069726584868566,1591,8,0.35314821885287645,0.33400574352078466,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260907,test,all,0.3135562792108875,4025,8,0.31402668634487313,0.31329975423257955,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260907,test,history_8,0.30215549674966496,1375,8,0.29965871902758295,0.28563481662951606,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260908,validation,all,0.3349776359439114,4662,8,0.33530011570606355,0.3178735473932452,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260908,validation,history_8,0.3501439369263478,1591,8,0.3433851378214012,0.34112302477511475,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260908,test,all,0.3311950204897478,4025,8,0.3306696258066046,0.31590328743167423,,,
attention_primary,classification,compact_no_noise,BiLSTM,20260908,test,history_8,0.3351420449693592,1375,8,0.32764791439405744,0.3263987924276504,,,
attention_primary,regression,compact_no_noise,TCN,20260907,validation,all,-1.0007601413697378,4662,8,,,-0.0005889693076885916,0.7398966473621564,1.0005889696787937
attention_primary,regression,compact_no_noise,TCN,20260907,validation,history_8,-0.9570626042190113,1591,8,,,0.0003082961966870412,0.7246723119580597,0.9355326436949443
attention_primary,regression,compact_no_noise,TCN,20260907,test,all,-1.0001843279347835,4025,8,,,-0.00045846846335040325,0.7364075262766855,1.0004584696410976
attention_primary,regression,compact_no_noise,TCN,20260907,test,history_8,-0.9701396159726219,1375,8,,,-0.0008594984595657884,0.7317168153401571,0.9710434628871728
attention_primary,regression,compact_no_noise,TCN,20260908,validation,all,-1.004452279548505,4662,8,,,-0.003934716246585257,0.7405445584709749,1.0039347166189312
attention_primary,regression,compact_no_noise,TCN,20260908,validation,history_8,-0.9620239315867827,1591,8,,,-0.005367798884473363,0.7265911536921105,0.9408444535428597
attention_primary,regression,compact_no_noise,TCN,20260908,test,all,-0.9971298079169678,4025,8,,,0.002509684573929527,0.7333199933376299,0.9974903166003236
attention_primary,regression,compact_no_noise,TCN,20260908,test,history_8,-0.9663264859359681,1375,8,,,0.0025994112804064162,0.727050115538709,0.9676875955582559
attention_primary,regression,compact_no_noise,LSTM,20260907,validation,all,-1.0006655880827056,4662,8,,,-0.0003240707977445467,0.7379949882145248,1.0003240711687513
attention_primary,regression,compact_no_noise,LSTM,20260907,validation,history_8,-0.9589948636215037,1591,8,,,-0.0008653349541689614,0.7234797048384853,0.9366309525526709
attention_primary,regression,compact_no_noise,LSTM,20260907,test,all,-1.0023155592421185,4025,8,,,-0.0023673300334359215,0.7355010796644124,1.0023673312134302
attention_primary,regression,compact_no_noise,LSTM,20260907,test,history_8,-0.9718600840036125,1375,8,,,-0.002458908107796365,0.7302023754781831,0.9725952254330481
attention_primary,regression,compact_no_noise,LSTM,20260908,validation,all,-1.0032997955538714,4662,8,,,-0.0029506415698561383,0.7376848208444287,1.002950641941837
attention_primary,regression,compact_no_noise,LSTM,20260908,validation,history_8,-0.95710008545927,1591,8,,,0.0007440521391808286,0.7242854354421142,0.9351248540660656
attention_primary,regression,compact_no_noise,LSTM,20260908,test,all,-1.0045991346661554,4025,8,,,-0.005023302407505703,0.7363447879888614,1.0050233035906269
attention_primary,regression,compact_no_noise,LSTM,20260908,test,history_8,-0.9754797916068879,1375,8,,,-0.0068381238980901315,0.7338798676932894,0.9768439824986321
attention_primary,regression,compact_no_noise,BiLSTM,20260907,validation,all,-1.0028843366360634,4662,8,,,-0.0030577642474287625,0.7393517881863485,1.0030577646194494
attention_primary,regression,compact_no_noise,BiLSTM,20260907,validation,history_8,-0.9622350952920424,1591,8,,,-0.004491017162969735,0.7263667728400651,0.9400239426606138
attention_primary,regression,compact_no_noise,BiLSTM,20260907,test,all,-0.9991783164268215,4025,8,,,0.0007899698338438288,0.734413894966102,0.9992100313424338
attention_primary,regression,compact_no_noise,BiLSTM,20260907,test,history_8,-0.9731015639509657,1375,8,,,-0.0038001089779835517,0.731508702379963,0.9738964713515994
attention_primary,regression,compact_no_noise,BiLSTM,20260908,validation,all,-1.0026804246703964,4662,8,,,-0.0025955371250867554,0.7403930061622134,1.002595537496936
attention_primary,regression,compact_no_noise,BiLSTM,20260908,validation,history_8,-0.9613097156763104,1591,8,,,-0.0033320295898009444,0.7271591508861746,0.938939337572654
attention_primary,regression,compact_no_noise,BiLSTM,20260908,test,all,-1.001267078844833,4025,8,,,-0.0013992588946036832,0.7368607764271919,1.0013992600734585
attention_primary,regression,compact_no_noise,BiLSTM,20260908,test,history_8,-0.9731744106539302,1375,8,,,-0.004028926648903752,0.7330599038434025,0.9741184724455412
