fold,inner,base_id,family,representation,smoothing,candidate_id,score
2,1,delayed4_m2,rbf,delayed4,8,delayed4_m2_s8,0.3784848009278586
2,1,delayed4_m2,rbf,delayed4,32,delayed4_m2_s32,0.3779537807155372
2,1,delayed4_m3,rbf,delayed4,1,delayed4_m3_s1,0.36941898547560986
2,1,delayed4_m3,rbf,delayed4,8,delayed4_m3_s8,0.38027511050014506
2,1,delayed4_m3,rbf,delayed4,32,delayed4_m3_s32,0.38431838211121017
2,1,delayed4_m4,trees,delayed4,1,delayed4_m4_s1,0.3646480830771023
2,1,delayed4_m4,trees,delayed4,8,delayed4_m4_s8,0.36638388204794914
2,1,delayed4_m4,trees,delayed4,32,delayed4_m4_s32,0.37457718750151314
2,1,delayed4_m5,trees,delayed4,1,delayed4_m5_s1,0.37214948452357166
2,1,delayed4_m5,trees,delayed4,8,delayed4_m5_s8,0.3743417916295158
2,1,delayed4_m5,trees,delayed4,32,delayed4_m5_s32,0.37774408751915867
2,1,relative_m0,ridge,relative,1,relative_m0_s1,0.37463968901391076
2,1,relative_m0,ridge,relative,8,relative_m0_s8,0.3686288531128596
2,1,relative_m0,ridge,relative,32,relative_m0_s32,0.37061928112124515
2,1,relative_m1,ridge,relative,1,relative_m1_s1,0.37399954641975947
2,1,relative_m1,ridge,relative,8,relative_m1_s8,0.3666532361723736
2,1,relative_m1,ridge,relative,32,relative_m1_s32,0.37062361804319216
2,1,relative_m2,rbf,relative,1,relative_m2_s1,0.3741030888289639
2,1,relative_m2,rbf,relative,8,relative_m2_s8,0.3762747605800495
2,1,relative_m2,rbf,relative,32,relative_m2_s32,0.378987770393799
2,1,relative_m3,rbf,relative,1,relative_m3_s1,0.3623374328637175
2,1,relative_m3,rbf,relative,8,relative_m3_s8,0.3673168873267375
2,1,relative_m3,rbf,relative,32,relative_m3_s32,0.3605265428973469
2,1,relative_m4,trees,relative,1,relative_m4_s1,0.3812117270244249
2,1,relative_m4,trees,relative,8,relative_m4_s8,0.37227962888997435
2,1,relative_m4,trees,relative,32,relative_m4_s32,0.3774629248774298
2,1,relative_m5,trees,relative,1,relative_m5_s1,0.3766800575351483
2,1,relative_m5,trees,relative,8,relative_m5_s8,0.36496840639366185
2,1,relative_m5,trees,relative,32,relative_m5_s32,0.3668420387693013
2,2,current_m0,ridge,current,1,current_m0_s1,0.37696601404850677
2,2,current_m0,ridge,current,8,current_m0_s8,0.359352895443828
2,2,current_m0,ridge,current,32,current_m0_s32,0.3523539960588311
2,2,current_m1,ridge,current,1,current_m1_s1,0.3748380120615246
2,2,current_m1,ridge,current,8,current_m1_s8,0.3608053614808981
2,2,current_m1,ridge,current,32,current_m1_s32,0.35293418290731876
2,2,current_m2,rbf,current,1,current_m2_s1,0.3697789156628916
2,2,current_m2,rbf,current,8,current_m2_s8,0.38405830418517845
2,2,current_m2,rbf,current,32,current_m2_s32,0.3701005609821475
2,2,current_m3,rbf,current,1,current_m3_s1,0.3555914791542498
2,2,current_m3,rbf,current,8,current_m3_s8,0.36182394590466244
2,2,current_m3,rbf,current,32,current_m3_s32,0.3555187911916401
2,2,current_m4,trees,current,1,current_m4_s1,0.3625768078548253
2,2,current_m4,trees,current,8,current_m4_s8,0.36913478582071957
2,2,current_m4,trees,current,32,current_m4_s32,0.3687162464100317
2,2,current_m5,trees,current,1,current_m5_s1,0.3568730290838838
2,2,current_m5,trees,current,8,current_m5_s8,0.36184412292692136
2,2,current_m5,trees,current,32,current_m5_s32,0.35939304484187173
2,2,multiscale_m0,ridge,multiscale,1,multiscale_m0_s1,0.384265438590312
2,2,multiscale_m0,ridge,multiscale,8,multiscale_m0_s8,0.38788659849186696
2,2,multiscale_m0,ridge,multiscale,32,multiscale_m0_s32,0.3923837505762326
2,2,multiscale_m1,ridge,multiscale,1,multiscale_m1_s1,0.37705480165795036
2,2,multiscale_m1,ridge,multiscale,8,multiscale_m1_s8,0.3767191126471403
2,2,multiscale_m1,ridge,multiscale,32,multiscale_m1_s32,0.3804859478655612
2,2,multiscale_m2,rbf,multiscale,1,multiscale_m2_s1,0.3554051318290677
2,2,multiscale_m2,rbf,multiscale,8,multiscale_m2_s8,0.34770720802549143
2,2,multiscale_m2,rbf,multiscale,32,multiscale_m2_s32,0.35429604585095037
2,2,multiscale_m3,rbf,multiscale,1,multiscale_m3_s1,0.349072932639905
2,2,multiscale_m3,rbf,multiscale,8,multiscale_m3_s8,0.34263896533792204
2,2,multiscale_m3,rbf,multiscale,32,multiscale_m3_s32,0.3444009648249792
2,2,multiscale_m4,trees,multiscale,1,multiscale_m4_s1,0.3520369932657046
2,2,multiscale_m4,trees,multiscale,8,multiscale_m4_s8,0.3470582498054895
2,2,multiscale_m4,trees,multiscale,32,multiscale_m4_s32,0.350249141183988
2,2,multiscale_m5,trees,multiscale,1,multiscale_m5_s1,0.36268909947787414
2,2,multiscale_m5,trees,multiscale,8,multiscale_m5_s8,0.3469197342968314
2,2,multiscale_m5,trees,multiscale,32,multiscale_m5_s32,0.34711654660602537
2,2,delayed4_m0,ridge,delayed4,1,delayed4_m0_s1,0.3630918033194132
2,2,delayed4_m0,ridge,delayed4,8,delayed4_m0_s8,0.38001619271037457
2,2,delayed4_m0,ridge,delayed4,32,delayed4_m0_s32,0.3816053344644692
2,2,delayed4_m1,ridge,delayed4,1,delayed4_m1_s1,0.3641097895539268
2,2,delayed4_m1,ridge,delayed4,8,delayed4_m1_s8,0.3810745736821057
2,2,delayed4_m1,ridge,delayed4,32,delayed4_m1_s32,0.38025151120032535
2,2,delayed4_m2,rbf,delayed4,1,delayed4_m2_s1,0.34141690039686773
2,2,delayed4_m2,rbf,delayed4,8,delayed4_m2_s8,0.34784756796161365
2,2,delayed4_m2,rbf,delayed4,32,delayed4_m2_s32,0.3473794725791855
2,2,delayed4_m3,rbf,delayed4,1,delayed4_m3_s1,0.3514157216692084
2,2,delayed4_m3,rbf,delayed4,8,delayed4_m3_s8,0.35257816018622457
2,2,delayed4_m3,rbf,delayed4,32,delayed4_m3_s32,0.35341001083765533
2,2,delayed4_m4,trees,delayed4,1,delayed4_m4_s1,0.35248155505486883
2,2,delayed4_m4,trees,delayed4,8,delayed4_m4_s8,0.3651846468395024
2,2,delayed4_m4,trees,delayed4,32,delayed4_m4_s32,0.3741534023882311
2,2,delayed4_m5,trees,delayed4,1,delayed4_m5_s1,0.36220081054980896
2,2,delayed4_m5,trees,delayed4,8,delayed4_m5_s8,0.3671478963890348
2,2,delayed4_m5,trees,delayed4,32,delayed4_m5_s32,0.3704508138639277
2,2,relative_m0,ridge,relative,1,relative_m0_s1,0.39525312588092665
2,2,relative_m0,ridge,relative,8,relative_m0_s8,0.40311405417434387
