fold,inner,candidate_id,family,score
3,1,lda_h1.0_geometric_s4,lda,0.3366033523404062
3,2,both_h0.0_mean_s1,both,0.32743903431329563
3,2,both_h0.0_mean_s4,both,0.3319555052624426
3,2,both_h0.0_geometric_s1,both,0.32742931058389535
3,2,both_h0.0_geometric_s4,both,0.3322297892837514
3,2,both_h0.25_mean_s1,both,0.331896523104885
3,2,both_h0.25_mean_s4,both,0.3253547346871809
3,2,both_h0.25_geometric_s1,both,0.3329454373886716
3,2,both_h0.25_geometric_s4,both,0.3257170641324368
3,2,both_h0.5_mean_s1,both,0.33278004163296016
3,2,both_h0.5_mean_s4,both,0.32613681179737364
3,2,both_h0.5_geometric_s1,both,0.3317583931226904
3,2,both_h0.5_geometric_s4,both,0.3269914361379929
3,2,both_h0.75_mean_s1,both,0.3302656732037821
3,2,both_h0.75_mean_s4,both,0.32916252412034613
3,2,both_h0.75_geometric_s1,both,0.33165987493706256
3,2,both_h0.75_geometric_s4,both,0.3289969199863524
3,2,both_h1.0_mean_s1,both,0.33342630268864293
3,2,both_h1.0_mean_s4,both,0.33306713726437664
3,2,both_h1.0_geometric_s1,both,0.3340115189554431
3,2,both_h1.0_geometric_s4,both,0.33484036240567205
3,2,logistic_h0.0_mean_s1,logistic,0.32815836921303043
3,2,logistic_h0.0_mean_s4,logistic,0.3331643463847518
3,2,logistic_h0.0_geometric_s1,logistic,0.32846558887508875
3,2,logistic_h0.0_geometric_s4,logistic,0.33346196543237083
3,2,logistic_h0.25_mean_s1,logistic,0.3308957619525785
3,2,logistic_h0.25_mean_s4,logistic,0.3357252214143017
3,2,logistic_h0.25_geometric_s1,logistic,0.3317285057223033
3,2,logistic_h0.25_geometric_s4,logistic,0.33657087739213704
3,2,logistic_h0.5_mean_s1,logistic,0.33761033603070895
3,2,logistic_h0.5_mean_s4,logistic,0.3359424809835812
3,2,logistic_h0.5_geometric_s1,logistic,0.3372462668728553
3,2,logistic_h0.5_geometric_s4,logistic,0.33403892168556826
3,2,logistic_h0.75_mean_s1,logistic,0.33185577122491217
3,2,logistic_h0.75_mean_s4,logistic,0.3377417935359004
3,2,logistic_h0.75_geometric_s1,logistic,0.33220613359208123
3,2,logistic_h0.75_geometric_s4,logistic,0.338682474389279
