fold,inner,candidate_id,family,window,low,high,score,strength,scale
2,2,center_w32_s1.0_scaleFalse,center,32,,,0.3794099388552053,1.0,False
2,2,center_w32_s1.0_scaleTrue,center,32,,,0.37351261285481113,1.0,True
2,2,rank_w64_l0.200_h0.600,rank,64,0.2,0.6,0.3407196849269469,,
2,2,rank_w64_l0.200_h0.667,rank,64,0.2,0.6666666666666666,0.3407337955967116,,
2,2,rank_w64_l0.200_h0.800,rank,64,0.2,0.8,0.3324430760623161,,
2,2,rank_w64_l0.333_h0.600,rank,64,0.3333333333333333,0.6,0.366801550807222,,
2,2,rank_w64_l0.333_h0.667,rank,64,0.3333333333333333,0.6666666666666666,0.3668156614769867,,
2,2,rank_w64_l0.333_h0.800,rank,64,0.3333333333333333,0.8,0.3585249419425912,,
2,2,rank_w64_l0.400_h0.600,rank,64,0.4,0.6,0.37472168780958764,,
2,2,rank_w64_l0.400_h0.667,rank,64,0.4,0.6666666666666666,0.37473579847935223,,
2,2,rank_w64_l0.400_h0.800,rank,64,0.4,0.8,0.36644507894495676,,
2,2,center_w64_s0.25_scaleFalse,center,64,,,0.3702756935690146,0.25,False
2,2,center_w64_s0.25_scaleTrue,center,64,,,0.36895053463785193,0.25,True
2,2,center_w64_s0.5_scaleFalse,center,64,,,0.36816333248794264,0.5,False
2,2,center_w64_s0.5_scaleTrue,center,64,,,0.3786286881639842,0.5,True
2,2,center_w64_s1.0_scaleFalse,center,64,,,0.3791454852476753,1.0,False
2,2,center_w64_s1.0_scaleTrue,center,64,,,0.37351261285481113,1.0,True
2,3,rank_w1_l0.200_h0.600,rank,1,0.2,0.6,0.39825840689672054,,
2,3,rank_w1_l0.200_h0.667,rank,1,0.2,0.6666666666666666,0.39532264945693407,,
2,3,rank_w1_l0.200_h0.800,rank,1,0.2,0.8,0.3838871458932435,,
2,3,rank_w1_l0.333_h0.600,rank,1,0.3333333333333333,0.6,0.4069668014789714,,
2,3,rank_w1_l0.333_h0.667,rank,1,0.3333333333333333,0.6666666666666666,0.40403104403918483,,
2,3,rank_w1_l0.333_h0.800,rank,1,0.3333333333333333,0.8,0.3925955404754942,,
