task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
attention_primary,regression,random_forest,gsr_scr_mean_prominence_z,7.253020624776175e-05,-8.258504635291765e-06,0.00020413878958339056,3.07219473336034e-05,3,8,5.653390358681953e-05,0.95002145002145,increase_mse
attention_primary,regression,random_forest,modalidad:EEG,-0.003501999922335319,-0.010405929438597868,0.00442971575484542,0.003427080466354904,2,8,-0.003638177089474204,0.95002145002145,increase_mse
attention_primary,regression,random_forest,modalidad:GSR,-0.006269771511631416,-0.013683684286555451,0.0012374602246740722,0.0025436550859678714,2,8,-0.007813007396369743,0.95002145002145,increase_mse
arousal_primary_6s,classification,logistic,eeg_rms_uv,-0.0006738768613559619,-0.003016279782486688,0.0014994398980911138,0.0013227733388857517,4,8,-0.000509068770057014,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_std_uv,0.0018850049421257945,-0.0007799523328583935,0.004905966755433463,0.0014403351457415422,5,8,0.0015777268274602741,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_peak_to_peak_uv,0.0010385137263775356,-0.002606777685352353,0.005075046894743929,0.0009841835693349939,4,8,0.0010537215414487433,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_delta_relative,0.0003924754148961499,-0.0035985799644838224,0.0047286277398383035,0.0021298536450588407,4,8,0.0007049091682962916,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_theta_relative,0.0001967466038090063,-0.0069497953084699735,0.007958894881330886,0.00355590647708331,4,8,0.0006401169385825967,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_alpha_relative,0.003192189180754597,-0.0016048724832683694,0.007874892479457203,0.0032003613667277394,6,8,0.0019760509738651344,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_beta_relative,0.005199126991860441,-0.004549031895728719,0.015480397166933104,0.0033557814704571302,5,8,0.0045167998517241514,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_gamma_relative,0.00153592517775737,-0.007332564219839481,0.010408209854827804,0.003070187673781159,5,8,0.0028558342704041394,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,eeg_line_noise_ratio,-0.0002319021812297456,-0.0039712954721141105,0.003302563611547545,0.0009168168065713469,5,8,-0.0008646328300952299,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,gaze_dispersion_x_px,0.006041670807424058,0.0018746089931125053,0.010202544988763865,0.0014563658734669275,5,8,0.005015048713196463,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,gaze_dispersion_y_px,0.0014388374114409407,-0.0025921952845648706,0.005301826712752096,0.0013678120138263647,4,8,0.0012152597420547972,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,gaze_dispersion_2d_px,0.007787121323845737,0.0012108211051123946,0.014071182940405267,0.0022212954251072396,6,8,0.006103425790409472,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,gaze_path_length_px,0.0024353453094140523,-0.0045080679673585936,0.010123157069758477,0.0014486793726325362,4,8,0.0010059345144503018,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,fixation_count,0.0006235695811285177,-0.002797906807947891,0.004884610037709074,0.0016734559606825018,3,8,6.754284894409656e-05,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,fixation_total_ms,0.0005910309597173403,-0.003801205142747495,0.0038372640451739804,0.0018218241891485418,6,8,0.0003417383450660449,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,fixation_mean_ms,0.0009311300023921707,-0.0026448674357653318,0.004422299836473424,0.0010106657019226116,4,8,0.0015447078042020502,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,fixation_median_ms,0.0007771425916129553,-0.0008640911542711349,0.0023698308769308824,0.0007344387970476588,6,8,5.958382265905948e-05,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,saccade_count,0.0037427916657111525,-0.0027722588937446626,0.010581086047243516,0.0020234710214203895,5,8,0.0034688128051170663,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,saccade_mean_ms,0.0016289619993791944,-0.003405671074969006,0.007227649796296971,0.002717380406521675,4,8,0.001708535029575814,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,pupil_both_valid_fraction,0.0007853703264937867,-0.0028271903644844576,0.003883083043437269,0.0012558353410674235,4,8,0.000767850872304171,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,pupil_mean_z,0.0016931331666270606,-0.007933798248075908,0.011898257674978137,0.002206297568619515,4,8,0.0002720474446771981,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,pupil_std_z,-0.0008871137347956576,-0.007480114329651937,0.005488623203284247,0.00134780618143471,4,8,-0.0013067973238098107,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,pupil_min_z,0.0017028175905697478,-0.003273285498637683,0.007107721599909143,0.002707286023259482,3,8,0.0022432386463272723,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,pupil_max_z,0.003768451266634217,-0.003762814993716169,0.010735878594161391,0.003194166145031209,5,8,0.005373769040155902,0.95002145002145,delta_balanced_accuracy
